"section","key","english","burmese","kcho_TO_FILL","notes"
"ui","modeLocal","Private mode · nothing leaves this computer","ကိုယ်ရေးလုံခြုံမှုအပြည့် · ဘာမှ ပြင်ပသို့ မထွက်ပါ","","SAFE - interface text, never sent as a query"
"ui","modeCloud","(template)","(template)","","SKIP - code template, ask before translating"
"ui","del","Delete","ဖျက်ရန်","","SAFE - interface text, never sent as a query"
"ui","browse","Browse all topics","ခေါင်းစဉ်အားလုံး ကြည့်ရန်","","SAFE - interface text, never sent as a query"
"ui","guideTitle","What can I ask?","ဘာတွေ မေးလို့ရမလဲ။","","SAFE - interface text, never sent as a query"
"ui","guideLede","These are the topics the archive covers. Tap any question to ask it. Anything outside these topics will be answered honestly with ""that is not in the archive"" rather than a guess.","ဤသည်မှာ မှတ်တမ်းတိုက်တွင် ပါဝင်သော ခေါင်းစဉ်များ ဖြစ်သည်။ မေးခွန်းတစ်ခုကို နှိပ်၍ မေးနိုင်သည်။ ဤခေါင်းစဉ်များ မဟုတ်ပါက မှန်းဆဖြေဆိုခြင်းမပြုဘဲ „မှတ်တမ်းတွင် မပါဝင်ပါ“ ဟု ပွင့်လင်းစွာ ဖြေပါမည်။","","SAFE - interface text, never sent as a query"
"ui","close","Close","ပိတ်ရန်","","SAFE - interface text, never sent as a query"
"ui","guideBoth","Each question is shown in English and Burmese. Tap the line in the language you want the answer in — the assistant replies in whichever language you ask.","မေးခွန်းတိုင်းကို မြန်မာနှင့် အင်္ဂလိပ် နှစ်ဘာသာဖြင့် ပြထားသည်။ အဖြေလိုချင်သည့် ဘာသာစကားစာကြောင်းကို နှိပ်ပါ — မေးသည့်ဘာသာစကားဖြင့်ပင် ပြန်ဖြေပါမည်။","","SAFE - interface text, never sent as a query"
"ui","guideEnglishOnly","The offline model on this computer writes English only, so the questions are listed in English. You can still type your question in Burmese — the archive is searched in Burmese and the answer comes back in English. For answers in Burmese, choose an online provider in Settings.","ဤကွန်ပျူတာရှိ အဖြေပေးသည့် AI သည် အင်္ဂလိပ်ဘာသာဖြင့်သာ ရေးနိုင်သဖြင့် မေးခွန်းများကို အင်္ဂလိပ်ဘာသာဖြင့် ပြထားသည်။ မေးခွန်းကို မြန်မာဘာသာဖြင့် ရိုက်ထည့်နိုင်ပါသေးသည် — မှတ်တမ်းတိုက်ကို မြန်မာဘာသာဖြင့် ရှာဖွေပြီး အဖြေကို အင်္ဂလိပ်ဘာသာဖြင့် ပြန်ဖြေပါမည်။ မြန်မာဘာသာဖြင့် အဖြေလိုပါက ဆက်တင်တွင် အွန်လိုင်း AI ကို ရွေးပါ။","","SAFE - interface text, never sent as a query"
"ui","langDowngraded","You asked in Burmese. The offline model on this computer cannot write Burmese reliably, so this answer is in English — the sources below were still found from your Burmese question. For answers in Burmese, choose an online provider in Settings.","သင် မြန်မာဘာသာဖြင့် မေးထားသည်။ ဤကွန်ပျူတာရှိ အဖြေပေးသည့် AI သည် မြန်မာဘာသာကို ယုံကြည်စိတ်ချစွာ မရေးနိုင်သဖြင့် ဤအဖြေမှာ အင်္ဂလိပ်ဘာသာဖြင့် ဖြစ်သည် — အောက်ပါ ရင်းမြစ်များကိုမူ သင့်မြန်မာမေးခွန်းဖြင့်ပင် ရှာတွေ့ခြင်း ဖြစ်သည်။ မြန်မာဘာသာဖြင့် အဖြေလိုပါက ဆက်တင်တွင် အွန်လိုင်း AI ကို ရွေးပါ။","","SAFE - interface text, never sent as a query"
"guide_category","cat0","Registration & documents","မှတ်ပုံတင်ခြင်းနှင့် စာရွက်စာတမ်း","","SAFE - category heading, display only, never sent as a query"
"guide_question","cat0_q0","How do I register with UNHCR?","UNHCR မှာ ဘယ်လို မှတ်ပုံတင်ရမလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat0_q1","How do I start an application on the My Services portal?","My Services portal မှာ လျှောက်လွှာ ဘယ်လို စတင်ရမလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat0_q2","How do I update my address or phone number with UNHCR?","UNHCR တွင် လိပ်စာ သို့မဟုတ် ဖုန်းနံပါတ် ဘယ်လို ပြောင်းရမလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat0_q3","What do I do if I lost my UNHCR card?","UNHCR ကတ် ပျောက်သွားရင် ဘာလုပ်ရမလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat0_q4","How do I add a family member to my UNHCR file?","မိသားစုဝင်တစ်ဦးကို UNHCR ဖိုင်ထဲ ဘယ်လို ထည့်ရမလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_category","cat1","My Services portal","My Services portal","","SAFE - category heading, display only, never sent as a query"
"guide_question","cat1_q0","How do I create a My Services account?","My Services အကောင့် ဘယ်လို ဖွင့်ရမလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat1_q1","What do I need before I can create a My Services account?","My Services အကောင့် မဖွင့်ခင် ဘာတွေ လိုအပ်လဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat1_q2","Why can I not create a My Services account right now?","အခု My Services အကောင့် အသစ် ဘာကြောင့် မဖွင့်နိုင်တာလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat1_q3","How do I log in to My Services?","My Services ကို ဘယ်လို ဝင်ရမလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat1_q4","How do I check or change my appointment on My Services?","My Services မှာ ချိန်းဆိုမှုကို ဘယ်လို ကြည့်ပြီး ပြောင်းရမလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat1_q5","How do I update my details on My Services?","My Services မှာ ကိုယ်ရေးအချက်အလက် ဘယ်လို ပြင်ရမလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat1_q6","Who can I ask for help using My Services?","My Services သုံးရာမှာ အကူအညီ ဘယ်သူ့ကို တောင်းရမလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_category","cat2","Refugee status & appeals","ဒုက္ခသည်အဆင့်နှင့် အယူခံဝင်ခြင်း","","SAFE - category heading, display only, never sent as a query"
"guide_question","cat2_q0","What happens at a Refugee Status Determination interview?","RSD အင်တာဗျူးမှာ ဘာတွေ ဖြစ်မလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat2_q1","What can I do if my refugee status application is rejected?","ဒုက္ခသည်အဖြစ် လျှောက်ထားမှု ငြင်းပယ်ခံရရင် ဘာလုပ်နိုင်မလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_category","cat3","Health care","ကျန်းမာရေး","","SAFE - category heading, display only, never sent as a query"
"guide_question","cat3_q0","What is REMEDI and how much does it cost?","REMEDI ဆိုတာ ဘာလဲ၊ ဘယ်လောက် ကုန်ကျမလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat3_q1","Are children covered by REMEDI?","ကလေးများ REMEDI အကျုံးဝင်ပါသလား။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat3_q2","How much does REMEDI cost for a child?","ကလေးတစ်ဦးအတွက် REMEDI ဘယ်လောက် ကုန်ကျမလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat3_q3","What does REMEDI cover in hospital?","REMEDI က ဆေးရုံမှာ ဘာတွေ အကျုံးဝင်မလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat3_q4","Can I claim REMEDI at a private hospital?","ပုဂ္ဂလိကဆေးရုံမှာ REMEDI နဲ့ တောင်းဆိုလို့ ရပါသလား။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat3_q5","How long after buying REMEDI can I claim?","REMEDI ဝယ်ပြီးနောက် ဘယ်လောက်ကြာမှ တောင်းဆိုလို့ ရမလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat3_q6","What is the maximum REMEDI pays for one hospital stay?","ဆေးရုံတစ်ကြိမ်တက်ရင် REMEDI အများဆုံး ဘယ်လောက် ပေးမလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat3_q7","What happens if my REMEDI expires?","REMEDI သက်တမ်းကုန်သွားရင် ဘာဖြစ်မလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat3_q8","Where can I buy or renew REMEDI?","REMEDI ကို ဘယ်မှာ ဝယ်ပြီး သက်တမ်းတိုးရမလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat3_q9","Where can I find a clinic that treats refugees?","ဒုက္ခသည်များကို ကုသပေးသော ဆေးခန်း ဘယ်မှာ ရှိမလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat3_q10","Which clinics can refugees go to in Kuala Lumpur?","ကွာလာလမ်ပူမှာ ဒုက္ခသည်များ သွားနိုင်တဲ့ ဆေးခန်းတွေက ဘာလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat3_q11","Is there a clinic for refugees in Penang?","ပီနန်မှာ ဒုက္ခသည်များအတွက် ဆေးခန်း ရှိပါသလား။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat3_q12","Where can a pregnant woman get care?","ကိုယ်ဝန်ဆောင်အမျိုးသမီး ဘယ်မှာ စောင့်ရှောက်မှု ရနိုင်မလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat3_q13","Where can I get help for stress, depression or mental health?","စိတ်ဖိစီးမှု၊ စိတ်ဓာတ်ကျမှုအတွက် အကူအညီ ဘယ်မှာ ရနိုင်မလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_category","cat4","Arrest, detention & legal","ဖမ်းဆီးခြင်း၊ ထိန်းသိမ်းခြင်းနှင့် ဥပဒေ","","SAFE - category heading, display only, never sent as a query"
"guide_question","cat4_q0","What should I do if I am arrested by police?","ရဲက ဖမ်းဆီးခံရရင် ဘာလုပ်ရမလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat4_q1","What is the UNHCR hotline for arrest and detention?","ဖမ်းဆီးထိန်းသိမ်းမှုအတွက် UNHCR ဖုန်းလိုင်းက ဘာလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat4_q2","Does a UNHCR card protect me from arrest?","UNHCR ကတ်က ဖမ်းဆီးခံရခြင်းမှ ကာကွယ်ပေးပါသလား။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat4_q3","What legal protection does UNHCR give refugees in Malaysia?","မလေးရှားရှိ ဒုက္ခသည်များအတွက် UNHCR က မည်သည့် ဥပဒေရေးရာ အကာအကွယ် ပေးသလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_category","cat5","Scams & fraud","လိမ်လည်မှုနှင့် အဂတိလိုက်စားမှု","","SAFE - category heading, display only, never sent as a query"
"guide_question","cat5_q0","How can I tell if someone is a scammer pretending to be UNHCR?","UNHCR ဟု ဟန်ဆောင်သော လိမ်လည်သူကို ဘယ်လို သိနိုင်မလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat5_q1","Does UNHCR ever charge money for registration or resettlement?","UNHCR က မှတ်ပုံတင်ခြင်း သို့မဟုတ် ပြန်လည်နေရာချထားရေးအတွက် ငွေကောက်ခံပါသလား။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat5_q2","How do I report someone asking me for money for UNHCR services?","UNHCR ဝန်ဆောင်မှုအတွက် ငွေတောင်းသူကို ဘယ်လို တိုင်ကြားရမလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat5_q3","What is UNHCR Verify Plus?","UNHCR Verify Plus ဆိုတာ ဘာလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_category","cat6","Children & education","ကလေးများနှင့် ပညာရေး","","SAFE - category heading, display only, never sent as a query"
"guide_question","cat6_q0","How can my child go to school in Malaysia?","ကျွန်ုပ်၏ကလေး မလေးရှားမှာ ကျောင်း ဘယ်လို တက်နိုင်မလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat6_q1","How do I register a newborn baby with UNHCR?","မွေးကင်းစကလေးကို UNHCR မှာ ဘယ်လို မှတ်ပုံတင်ရမလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat6_q2","What help is there for a child who is alone or separated?","တစ်ဦးတည်း ကျန်ရစ်သော ကလေးအတွက် ဘာအကူအညီ ရှိမလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_category","cat7","Safety & gender-based violence","ဘေးကင်းရေးနှင့် ကျား၊မ အခြေပြု အကြမ်းဖက်မှု","","SAFE - category heading, display only, never sent as a query"
